name_of_chain;String
ts_creation_of_protocol;Datetime
number_nodes_exp;UInt16
minimal_block_delay;UInt32
block_gas_limit;UInt64
initial_endorsers_per_block;UInt16
maximum_endorsers_per_block;UInt16
min_time_between_blocks;UInt32
block_delay_per_priority;UInt32
delay_per_missing_endorsement;UInt32
chain_val_latency;UInt32
fraction_of_bakers;Decimal32(4)
number_of_bakers;UInt16
number_of_endorsers;UInt16
chain_val_latency_factor;UInt8
chain_val_sync_threshold;UInt8
trx_amount;UInt64
blocks_to_run;UInt8
