name_of_chain;String
ts_creation_of_protocol;Datetime
preserved_cycles;UInt16
blocks_per_cycle;UInt32
blocks_per_commitment;UInt32
blocks_per_roll_snapshot;UInt32
blocks_per_voting_period;UInt32
time_between_blocks;Array(UInt32)
minimal_block_delay;UInt32
endorsers_per_block;UInt16
hard_gas_limit_per_operation;UInt64
hard_gas_limit_per_block;UInt64
proof_of_work_threshold;Int16
tokens_per_roll;UInt64
seed_nonce_revelation_tip;UInt64
origination_size;UInt32
block_security_deposit;UInt32
endorsement_security_deposit;UInt32
baking_reward_per_endorsement;Array(UInt32)
endorsement_reward;Array(UInt32)
hard_storage_limit_per_operation;UInt32
cost_per_byte;UInt32
quorum_min;UInt32
quorum_max;UInt32
min_proposal_quorum;UInt32
initial_endorsers;UInt16
delay_per_missing_endorsement;UInt32
liquidity_baking_subsidy;UInt64
liquidity_baking_sunset_level;UInt64
liquidity_baking_escape_ema_threshold;UInt64
